f0*x^4;f1*x^3;f1*x^2;f1*x;f1
f1*x^4;2*f0*x^3;2*f0*x^2;2*f0*x;2*f0
1*f2*x^4;2*f4*x^3;2*f4*x^2;2*f4*x;2*f4
1*f3*x^4;4*f5*x^3;4*f5*x^2;4*f5*x;4*f5
1*f4*x^4;1*f2*x^3;1*f2*x^2;1*f2*x;1*f2
1*f5*x^4;3*f3*x^3;3*f3*x^2;3*f3*x;3*f3

f0*(x+1)^4;1*f2*(x+1)^3;1*f4*(x+1)^2;1*f3*(x+1);f0
f1*(x+1)^4;2*f4*(x+1)^3;1*f2*(x+1)^2;4*f5*(x+1);f1
1*f2*(x+1)^4;3*f5*(x+1)^3;2*f3*(x+1)^2;3*f1*(x+1);1*f2
1*f3*(x+1)^4;3*f1*(x+1)^3;3*f0*(x+1)^2;4*f2*(x+1);1*f3
1*f4*(x+1)^4;2*f3*(x+1)^3;4*f5*(x+1)^2;3*f0*(x+1);1*f4
1*f5*(x+1)^4;4*f0*(x+1)^3;2*f1*(x+1)^2;2*f4*(x+1);1*f5

f0*(x+2)^4;2*f4*(x+2)^3;4*f0*(x+2)^2;3*f4*(x+2);f0
f1*(x+2)^4;2*f2*(x+2)^3;4*f1*(x+2)^2;3*f2*(x+2);f1
1*f2*(x+2)^4;4*f3*(x+2)^3;4*f2*(x+2)^2;1*f3*(x+2);1*f2
1*f3*(x+2)^4;f0*(x+2)^3;4*f3*(x+2)^2;4*f0*(x+2);1*f3
1*f4*(x+2)^4;3*f5*(x+2)^3;4*f4*(x+2)^2;2*f5*(x+2);1*f4
1*f5*(x+2)^4;4*f1*(x+2)^3;4*f5*(x+2)^2;f1*(x+2);1*f5

f0*(x+3)^4;3*f3*(x+3)^3;4*f4*(x+3)^2;2*f2*(x+3);f0
f1*(x+3)^4;2*f5*(x+3)^3;4*f2*(x+3)^2;4*f4*(x+3);f1
1*f2*(x+3)^4;4*f1*(x+3)^3;3*f3*(x+3)^2;1*f5*(x+3);1*f2
1*f3*(x+3)^4;2*f2*(x+3)^3;2*f0*(x+3)^2;f1*(x+3);1*f3
1*f4*(x+3)^4;4*f0*(x+3)^3;1*f5*(x+3)^2;4*f3*(x+3);1*f4
1*f5*(x+3)^4;1*f4*(x+3)^3;3*f1*(x+3)^2;3*f0*(x+3);1*f5

f0*(x+4)^4;4*f5*(x+4)^3;1*f5*(x+4)^2;4*f5*(x+4);1*f5
f1*(x+4)^4;2*f3*(x+4)^3;3*f3*(x+4)^2;2*f3*(x+4);3*f3
1*f2*(x+4)^4;f0*(x+4)^3;4*f0*(x+4)^2;f0*(x+4);4*f0
1*f3*(x+4)^4;3*f4*(x+4)^3;2*f4*(x+4)^2;3*f4*(x+4);2*f4
1*f4*(x+4)^4;3*f1*(x+4)^3;2*f1*(x+4)^2;3*f1*(x+4);2*f1
1*f5*(x+4)^4;2*f2*(x+4)^3;3*f2*(x+4)^2;2*f2*(x+4);3*f2

f0*(x+5)^4;f1*(x+5)^3;f1*(x+5)^2;f1*(x+5);f1
f1*(x+5)^4;2*f0*(x+5)^3;2*f0*(x+5)^2;2*f0*(x+5);2*f0
1*f2*(x+5)^4;2*f4*(x+5)^3;2*f4*(x+5)^2;2*f4*(x+5);2*f4
1*f3*(x+5)^4;4*f5*(x+5)^3;4*f5*(x+5)^2;4*f5*(x+5);4*f5
1*f4*(x+5)^4;1*f2*(x+5)^3;1*f2*(x+5)^2;1*f2*(x+5);1*f2
1*f5*(x+5)^4;3*f3*(x+5)^3;3*f3*(x+5)^2;3*f3*(x+5);3*f3


