4*x^4;4*x^3;x^2;4*x;1
4*x^4;;2*x^2;4*x;4
3*x^4;4*x^3;3*x^2;3*x;
2*x^4;4*x^3;;2*x;4
x^4;4*x^3;2*x^2;x;3
;4*x^3;4*x^2;;2

4*(x+1)^4;3*(x+1)^3;3*(x+1)^2;3*(x+1);3
4*(x+1)^4;4*(x+1)^3;(x+1)^2;4*(x+1);1
3*(x+1)^4;2*(x+1)^3;4*(x+1)^2;2*(x+1);4
2*(x+1)^4;(x+1)^3;;(x+1);
(x+1)^4;;(x+1)^2;;1
;4*(x+1)^3;2*(x+1)^2;4*(x+1);2

4*(x+2)^4;2*(x+2)^3;3*(x+2)^2;;4
4*(x+2)^4;3*(x+2)^3;3*(x+2)^2;3*(x+2);3
3*(x+2)^4;;(x+2)^2;3*(x+2);2
2*(x+2)^4;3*(x+2)^3;4*(x+2)^2;(x+2);
(x+2)^4;(x+2)^3;2*(x+2)^2;4*(x+2);3
;4*(x+2)^3;;2*(x+2);1

4*(x+3)^4;(x+3)^3;(x+3)^2;4*(x+3);4
4*(x+3)^4;2*(x+3)^3;3*(x+3)^2;;4
3*(x+3)^4;3*(x+3)^3;4*(x+3)^2;4*(x+3);3
2*(x+3)^4;;2*(x+3)^2;4*(x+3);2
(x+3)^4;2*(x+3)^3;;4*(x+3);1
;4*(x+3)^3;3*(x+3)^2;4*(x+3);

4*(x+4)^4;;2*(x+4)^2;4*(x+4);4
4*(x+4)^4;(x+4)^3;(x+4)^2;4*(x+4);4
3*(x+4)^4;(x+4)^3;3*(x+4)^2;3*(x+4);3
2*(x+4)^4;2*(x+4)^3;4*(x+4)^2;2*(x+4);2
(x+4)^4;3*(x+4)^3;;(x+4);1
;4*(x+4)^3;(x+4)^2;;

4*(x+5)^4;4*(x+5)^3;(x+5)^2;4*(x+5);1
4*(x+5)^4;;2*(x+5)^2;4*(x+5);4
3*(x+5)^4;4*(x+5)^3;3*(x+5)^2;3*(x+5);
2*(x+5)^4;4*(x+5)^3;;2*(x+5);4
(x+5)^4;4*(x+5)^3;2*(x+5)^2;(x+5);3
;4*(x+5)^3;4*(x+5)^2;;2


