x,y,p,phi_on_grid
0,0,2,2
0,0.00555556,1.99994,1.99994
0,0.0111111,1.99975,1.99975
0,0.0166667,1.99944,1.99944
0,0.0222222,1.99901,1.99901
0,0.0277778,1.99846,1.99846
0,0.0333333,1.99778,1.99778
0,0.0388889,1.99698,1.99698
0,0.0444444,1.99605,1.99605
0,0.05,1.99501,1.99501
0,0.0555556,1.99384,1.99384
0,0.0611111,1.99254,1.99254
0,0.0666667,1.99113,1.99113
0,0.0722222,1.9896,1.9896
0,0.0777778,1.98794,1.98794
0,0.0833333,1.98616,1.98616
0,0.0888889,1.98426,1.98426
0,0.0944444,1.98224,1.98224
0,0.1,1.9801,1.9801
0,0.105556,1.97784,1.97784
0,0.111111,1.97546,1.97546
0,0.116667,1.97296,1.97296
0,0.122222,1.97035,1.97035
0,0.127778,1.96761,1.96761
0,0.133333,1.96476,1.96476
0,0.138889,1.96179,1.96179
0,0.144444,1.95871,1.95871
0,0.15,1.95551,1.95551
0,0.155556,1.95219,1.95219
0,0.161111,1.94876,1.94876
0,0.166667,1.94522,1.94522
0,0.172222,1.94156,1.94156
0,0.177778,1.93779,1.93779
0,0.183333,1.93391,1.93391
0,0.188889,1.92991,1.92991
0,0.194444,1.92581,1.92581
0,0.2,1.9216,1.9216
0,0.205556,1.91728,1.91728
0,0.211111,1.91285,1.91285
0,0.216667,1.90831,1.90831
0,0.222222,1.90367,1.90367
0,0.227778,1.89893,1.89893
0,0.233333,1.89408,1.89408
0,0.238889,1.88912,1.88912
0,0.244444,1.88406,1.88406
0,0.25,1.87891,1.87891
0,0.255556,1.87365,1.87365
0,0.261111,1.86829,1.86829
0,0.266667,1.86283,1.86283
0,0.272222,1.85728,1.85728
0,0.277778,1.85163,1.85163
0,0.283333,1.84589,1.84589
0,0.288889,1.84005,1.84005
0,0.294444,1.83412,1.83412
0,0.3,1.8281,1.8281
0,0.305556,1.82199,1.82199
0,0.311111,1.81579,1.81579
0,0.316667,1.8095,1.8095
